                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5548,                 2.2406,                 1.4662,                0.46478,                0.36043,                0.35681,                0.14998,                 1.9732,                 1.8727,                 1.7048,             0.00023654,             0.00023654,             0.00023654
                      1,                 1.2975,                 1.4648,                 1.3086,                0.60091,                0.39713,                0.43474,                0.21197,                 1.8201,                 1.5584,                 1.6516,             0.00047141,             0.00047141,             0.00047141
                      2,                  1.262,                 1.3949,                 1.2772,                0.61219,                0.43459,                 0.4585,                0.17744,                 2.1252,                 1.4964,                   1.85,             0.00070313,             0.00070313,             0.00070313
                      3,                 1.2457,                 1.3587,                 1.2734,                0.63414,                0.43781,                0.48006,                0.22291,                 1.8428,                 1.6248,                 1.6962,             0.00069986,             0.00069986,             0.00069986
                      4,                 1.2219,                 1.3124,                 1.2578,                0.66668,                0.46697,                0.51165,                0.23956,                 1.8477,                 1.4167,                  1.685,             0.00069986,             0.00069986,             0.00069986
                      5,                 1.1977,                 1.2673,                 1.2398,                0.63082,                0.49427,                 0.5034,                0.22991,                 1.8462,                 1.4031,                 1.6964,             0.00069515,             0.00069515,             0.00069515
                      6,                 1.1672,                 1.2093,                 1.2234,                 0.6537,                0.50276,                 0.5296,                0.24895,                 1.8665,                 1.3301,                  1.721,             0.00069044,             0.00069044,             0.00069044
                      7,                 1.1574,                 1.1888,                 1.2221,                0.75936,                0.49036,                0.52725,                0.21568,                 2.0041,                 1.3273,                 1.7617,             0.00068573,             0.00068573,             0.00068573
                      8,                 1.1451,                 1.1556,                 1.2041,                0.73274,                0.50043,                0.53781,                0.23873,                 1.8402,                 1.2833,                 1.6566,             0.00068101,             0.00068101,             0.00068101
                      9,                 1.1298,                 1.1336,                 1.1978,                0.69893,                0.51494,                0.55505,                0.26027,                 1.8227,                 1.2678,                 1.6517,              0.0006763,              0.0006763,              0.0006763
                     10,                 1.1127,                  1.099,                  1.187,                 0.7317,                0.51219,                 0.5651,                0.25911,                 1.8053,                 1.2247,                  1.641,             0.00067159,             0.00067159,             0.00067159
                     11,                 1.0943,                 1.0877,                  1.182,                0.69245,                0.52033,                0.54972,                0.25009,                 1.8856,                 1.3079,                 1.7155,             0.00066688,             0.00066688,             0.00066688
                     12,                 1.0972,                 1.0737,                 1.1811,                0.71819,                0.53107,                0.56902,                0.26173,                 1.8416,                 1.1889,                 1.6587,             0.00066216,             0.00066216,             0.00066216
                     13,                 1.0744,                 1.0501,                 1.1741,                0.73552,                0.51227,                0.56706,                0.28421,                 1.7227,                  1.157,                 1.6022,             0.00065745,             0.00065745,             0.00065745
